Position,Company,Location,URL
[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형), 유한회사 미소, 서울, https://kr.indeed.com/rc/clk?jk=4c25d6649f8434a8&fccid=02936474a8d39137&vjs=3
[NEXON COMPANY] 부문별 신입 및 경력사원, 엔미디어플랫폼, 성남 분당구, https://kr.indeed.com/rc/clk?jk=0f9ed16a85dc8714&fccid=2cfb127a9d7ab3bc&vjs=3
Business Intelligence Manager (9 Months Contract), LEGO, 서울, https://kr.indeed.com/rc/clk?jk=04e97ec1161daaf7&fccid=7ffb2f076144ee5d&vjs=3
[정보보안실] 보안플랫폼개발파트 인턴 영입, 카카오엔터프라이즈, 성남 분당구, https://kr.indeed.com/rc/clk?jk=a6c23a6e132deaf2&fccid=e19aa33fc391b310&vjs=3
Python  웹개발 외 경력 정규직, 디엠시스템, 성남 중원구, https://kr.indeed.com/rc/clk?jk=895ac87621e91631&fccid=00c0703f222e3419&vjs=3
JR0186078 AI Research Engineer Intern, 인텔코리아, 서울, https://kr.indeed.com/rc/clk?jk=016de9bb83a8032d&fccid=ded06d6a6799d929&vjs=3
[선행기술원] AI 모델 데이터 최적화 기술[책임연구원], 현대자동차그룹, 성남 판교역, https://kr.indeed.com/rc/clk?jk=88f6c889d813f95e&fccid=980d6ecc399a3373&vjs=3
[TmaxGroup/AI] NLP/음성 AI모델 연구원(*전문연구요원 병역특례포함), 티맥스소프트, 성남 분당구, https://kr.indeed.com/rc/clk?jk=9180d4b245fc8ddb&fccid=445576e2a7ced0d6&vjs=3
C·C++  Python 외 신입/경력 정규직  인턴, 골드엔에프티, 성남 분당구, https://kr.indeed.com/rc/clk?jk=6d7d21ddb25ec3e1&fccid=8e714aa9ea8ab527&vjs=3
[R&D] 딥러닝 엔지니어, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=09986d2a7ec2e979&fccid=aea6a13a3459fdb2&vjs=3
AI 모빌리티 서비스의 미래 함께 열어갈 우수한 인재 찾습니다., 라온로드, 성남 분당구, https://kr.indeed.com/rc/clk?jk=5133adebeb209d23&fccid=3f9a516642f6114a&vjs=3
Python 기반 빅데이터 처리 개발자, 드림어스컴퍼니, 서울 서초구, https://kr.indeed.com/rc/clk?jk=d364360d1e0368e3&fccid=d5dc18a57ad82f07&vjs=3
Kafka 담당자 영입, 카카오페이, 성남 분당구, https://kr.indeed.com/rc/clk?jk=97e9de2381da633d&fccid=c3aa6121be03065c&vjs=3
[인텔리전스랩스] 선행개발실 풀스택 개발자 (Vue/Node.js/Python), Nexon, 경기도 성남, https://kr.indeed.com/rc/clk?jk=8db1f42434ef0d60&fccid=aba87288e4cc3687&vjs=3
2022년 하반기 python 가능 직원, 디엠시스템, 성남 중원구, https://kr.indeed.com/rc/clk?jk=9af20aa5277a62a5&fccid=00c0703f222e3419&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야), 딥엑스, 성남 분당구, https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
BI팀 채용, GC녹십자지놈, 용인 기흥구, https://kr.indeed.com/rc/clk?jk=4721ceaf47437a8b&fccid=d841ec1b32c04ab7&vjs=3
[정규직] 2022년 소프트웨어 연구개발 신입/경력 사원, 스카이시스, 울산 북구, https://kr.indeed.com/rc/clk?jk=9f50e72b1130520d&fccid=c182093a93404981&vjs=3
Data Engineering 분야 개발자, 에스케이텔레콤, 서울 중구, https://kr.indeed.com/rc/clk?jk=6ca0656d7bc91045&fccid=ce2f0f28b40a5be8&vjs=3
Data Engineering 분야 전문가/개발자, 에스케이텔레콤, 서울 중구, https://kr.indeed.com/rc/clk?jk=ccda292180fbf3e8&fccid=ce2f0f28b40a5be8&vjs=3
한국행동과학연구소 각 부문 수시, 한국행동과학연구소, 서울 강남구, https://kr.indeed.com/rc/clk?jk=287a2f9783758916&fccid=bfea989faf5bd4e4&vjs=3
[NAVER Cloud] 시스템 엔지니어, 네이버클라우드, 성남 분당구, https://kr.indeed.com/rc/clk?jk=75dc525f15f4c03a&fccid=54815931228b42c0&vjs=3
[선행기술원] AI 모델 경량화 기술 개발[책임연구원], 현대자동차그룹, 성남 판교역, https://kr.indeed.com/rc/clk?jk=e54a2df63a096b76&fccid=980d6ecc399a3373&vjs=3
자율 주행  로봇 SW 개발자, 에바, 성남 수정구, https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
게임 데이터 서비스/플랫폼 개발, NHN, 성남 판교역, https://kr.indeed.com/rc/clk?jk=028f37ec9f6509a9&fccid=a72ebaf825acf7af&vjs=3
클라우드 플랫폼 운영 엔지니어, NHN Enterprise, 성남 판교역, https://kr.indeed.com/rc/clk?jk=40e20a58af1e44ee&fccid=a72ebaf825acf7af&vjs=3
카카오 전체의 계정 플랫폼을 만들 서버개발자 모집, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=1399ee2f387a27dd&fccid=32b9af632cf3b9f9&vjs=3
[FrontEnd] 웹서비스 프론트엔드 개발자, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=207c600998e380be&fccid=aea6a13a3459fdb2&vjs=3
[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영, 엔아이티서비스, 성남 분당구, https://kr.indeed.com/rc/clk?jk=f77f9abb42c655b7&fccid=d389f1042b660837&vjs=3
카카오 전사QA 모집, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=9d0aa83c1e8f086e&fccid=32b9af632cf3b9f9&vjs=3
[그로스마케팅] 그로스마케팅 담당자, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=f4f252a8fc94e79f&fccid=aea6a13a3459fdb2&vjs=3
[Cloud] 클라우드 엔지니어, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=04ae13e99df5db2d&fccid=aea6a13a3459fdb2&vjs=3
카카오 데이터의 가치를 발굴할 데이터 분석가 모집, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=2b2dcd3ffe3d53df&fccid=32b9af632cf3b9f9&vjs=3
[단기계약직] 데이터 수집 및 전처리 작업자 모집, 엔씨소프트, 성남 판교역, https://kr.indeed.com/rc/clk?jk=20b4fd1104814fbb&fccid=a1e4e21b1f33cf40&vjs=3
2022년 한국자동차연구원 미래차 사업재편 교육과정 안내, 한국자동차연구원, 충청남도, https://kr.indeed.com/rc/clk?jk=9bcb05624e56e57a&fccid=b939895653c0cfc4&vjs=3
[Data] 분석 데이터 엔지니어, 한국카카오은행, 성남 분당구, https://kr.indeed.com/rc/clk?jk=c2380125636c8eec&fccid=aea6a13a3459fdb2&vjs=3
추천 시스템 연구/개발, 카카오, 성남 판교역, https://kr.indeed.com/rc/clk?jk=be6c1f03fa566f8e&fccid=32b9af632cf3b9f9&vjs=3
부문별 직원, 경복대학교, 경기도 포천, https://kr.indeed.com/rc/clk?jk=7d02cc2c10a4ef52&fccid=36475830c3fcd0b5&vjs=3
[카카오 콘텐츠] 데이터 엔지니어 모집, 카카오, 대한민국, https://kr.indeed.com/rc/clk?jk=1174b224bed61f3d&fccid=32b9af632cf3b9f9&vjs=3
