Position,Company,Location,URL
2022년 하반기 KT&G 신입/경력사원, KT&G, 대전 대덕구, https://kr.indeed.com/rc/clk?jk=81284e339af90671&fccid=8c6b7e3638a28d51&vjs=3
2022년 정규직, 한국석유공사, 울산, https://kr.indeed.com/rc/clk?jk=820b370dd736c445&fccid=3a9058978d944881&vjs=3
2분기 회계팀 신입 채용, 깨끗한나라, 서울 한남동, https://kr.indeed.com/rc/clk?jk=793deed9c9c30c4f&fccid=4d2643328b1018cd&vjs=3
CJ ENM 엔터테인먼트부문 콘텐츠운영지원/방송제작지원 직군(고졸이상) 신입사원, CJ ENM, 서울 마포구, https://kr.indeed.com/rc/clk?jk=9e7bbc88ce232084&fccid=48447502f9ca459e&vjs=3
2022년도 하반기 정규직(공무직), 한국산림복지진흥원, 경기도, https://kr.indeed.com/rc/clk?jk=818c3274e8c01ade&fccid=984c328900fd61c4&vjs=3
2022년 현대L&C 사무직(회계/영업지원), 현대L&C, 대한민국, https://kr.indeed.com/rc/clk?jk=60964bf55ea90acf&fccid=7a30abd599140a99&vjs=3
FY2022 한국투자증권 상시 (경력), 한국투자증권, 대한민국, https://kr.indeed.com/rc/clk?jk=cc66fed1d357c422&fccid=ce93b193d262f8ff&vjs=3
[KDB캐피탈] 신입/경력, 산은캐피탈, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=f5ea48d5510c62d5&fccid=790d63d5e8f941f3&vjs=3
[] 2022년 단기계약직(장애인 대상 제한), 한국의약품안전관리원, 경기도, https://kr.indeed.com/rc/clk?jk=41cbdf88f12d0b7e&fccid=a039b68724636452&vjs=3
2022년도 2차 공무직(상담), 한국고용정보원, 서울, https://kr.indeed.com/rc/clk?jk=45fcc770c8347af7&fccid=0efa3bc2d14a4a9e&vjs=3
Office Assistant - Korea, Bloom Energy, 서울, https://kr.indeed.com/rc/clk?jk=52a95130428dfbaa&fccid=04ef0d72e1a71432&vjs=3
[LG에너지솔루션] 상시인재 Pool 등록 (신입/경력), 엘지에너지솔루션, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=8d5c7b1db41ce4af&fccid=00f21c4b7aa50602&vjs=3
2022년 하반기, 세종학당재단, 서울, https://kr.indeed.com/rc/clk?jk=ab08ea99840550fa&fccid=83ad1d27e50be6b5&vjs=3
재무  재무회계 외 경력 정규직, 피앤씨(P&C), 서울 서초구, https://kr.indeed.com/rc/clk?jk=6030b5cdc8511f26&fccid=6a171d8c04eb6f0f&vjs=3
[현대글로비스] 본사 회계 지원/수출입 지원 담당, 인트로맨, 서울 성동구, https://kr.indeed.com/rc/clk?jk=51dbbcb6d40c25f9&fccid=d61c030f312610a8&vjs=3
육아휴직 대체인력, 한국학중앙연구원, 경기도, https://kr.indeed.com/rc/clk?jk=3e74f47694a272d6&fccid=67471c1186f8002b&vjs=3
공인회계사(CPA)  미국공인회계사(AICPA) 신입 정규직, 더인터내셔날트레이드컨설팅, 서울 강남구, https://kr.indeed.com/rc/clk?jk=442c56004e8baf30&fccid=2ef74a5b16a45dfa&vjs=3
직원 상시 안내, Kim & Chang (김앤장 법률사무소), 서울 종로구, https://kr.indeed.com/rc/clk?jk=4199978a124e7491&fccid=81b51637709698c8&vjs=3
2022년 하반기 항만공사, 인천항만공사, 인천 중구, https://kr.indeed.com/rc/clk?jk=49354b4b6b265acb&fccid=a040c7a7b36fc144&vjs=3
[현대글로비스] 본사 회계 지원/수출입 지원 담당, 인트로맨, 서울 성동구, https://kr.indeed.com/rc/clk?jk=51dbbcb6d40c25f9&fccid=d61c030f312610a8&vjs=3
ITGC 담당자, NHN, 성남 판교역, https://kr.indeed.com/rc/clk?jk=dea38d3d730e4f57&fccid=a72ebaf825acf7af&vjs=3
회계 수시채용, OCI, 서울 소공동, https://kr.indeed.com/rc/clk?jk=3cd1d59329dc49a2&fccid=0f8d949a7b5adc5e&vjs=3
Global Capital Markets Full Time Analyst – 2023 – Seoul, Bank of America, 서울, https://kr.indeed.com/rc/clk?jk=b89f4f0d94fe556f&fccid=5bd99dfa21c8a490&vjs=3
[자이 C&A /GS건설 계열] 하반기 신입/경력, 자이C&A, 대한민국, https://kr.indeed.com/rc/clk?jk=781273db39c12f17&fccid=7d5223bb40a3bfac&vjs=3
[어린이재단] 2022 월드프렌즈코리아 KOICA-NGO봉사단, 2022 WFK NOICA-NGO봉사단, 대한민국, https://kr.indeed.com/rc/clk?jk=9920951e2d531577&fccid=dd616958bd9ddc12&vjs=3
경영지원본부 전환형 인턴 또는 신입사원 (~10/31), 원자산운용, 대한민국, https://kr.indeed.com/rc/clk?jk=046a1735f27f9ca7&fccid=7e5757bca48c65ea&vjs=3
2022년 하반기 NICE신용평가 신입/경력, 나이스신용평가, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=5a2287d7fe6be6ae&fccid=28f50e94b965bf66&vjs=3
